Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem B-01,2,Correct,2
Basic Problem B-02,5,Correct,5
Basic Problem B-03,1,Correct,1
Basic Problem B-04,1,Incorrect,3
Basic Problem B-05,4,Correct,4
Basic Problem B-06,4,Incorrect,5
Basic Problem B-07,1,Incorrect,6
Basic Problem B-08,6,Correct,6
Basic Problem B-09,1,Incorrect,5
Basic Problem B-10,3,Correct,3
Basic Problem B-11,1,Correct,1
Basic Problem B-12,1,Correct,1
Basic Problem C-01,4,Incorrect,3
Basic Problem C-02,1,Incorrect,4
Basic Problem C-03,5,Incorrect,4
Basic Problem C-04,5,Incorrect,8
Basic Problem C-05,5,Incorrect,3
Basic Problem C-06,2,Incorrect,7
Basic Problem C-07,1,Incorrect,2
Basic Problem C-08,1,Incorrect,5
Basic Problem C-09,1,Incorrect,2
Basic Problem C-10,3,Incorrect,7
Basic Problem C-11,1,Incorrect,4
Basic Problem C-12,3,Incorrect,8
Challenge Problem B-01,6,Correct,6
Challenge Problem B-02,2,Incorrect,1
Challenge Problem B-03,4,Incorrect,3
Challenge Problem B-04,6,Incorrect,4
Challenge Problem B-05,6,Correct,6
Challenge Problem B-06,6,Incorrect,3
Challenge Problem B-07,4,Incorrect,6
Challenge Problem B-08,3,Incorrect,4
Challenge Problem B-09,4,Correct,4
Challenge Problem B-10,2,Incorrect,4
Challenge Problem B-11,5,Correct,5
Challenge Problem B-12,5,Incorrect,1
Challenge Problem C-01,1,Incorrect,7
Challenge Problem C-02,3,Incorrect,7
Challenge Problem C-03,4,Incorrect,3
Challenge Problem C-04,1,Incorrect,8
Challenge Problem C-05,1,Incorrect,4
Challenge Problem C-06,1,Incorrect,7
Challenge Problem C-07,5,Incorrect,3
Challenge Problem C-08,5,Incorrect,1
Challenge Problem C-09,4,Incorrect,7
Challenge Problem C-10,3,Correct,3
Challenge Problem C-11,1,Incorrect,4
Challenge Problem C-12,5,Incorrect,2
